시군구명,총_생활인구_수,총_상가수,인구수_비율,상가수_비율
강남구,337908221,412,6.875059620464281,6.173209469583458
강동구,277264660,240,5.64120950507374,3.596044351213665
강북구,175677212,252,3.5743176146547295,3.7758465687743485
강서구,237857874,280,4.839441491264815,4.195385076415943
관악구,279686042,296,5.690474792448678,4.435121366496853
광진구,229156656,248,4.662407051724923,3.71591249625412
구로구,160827953,240,3.272195515812051,3.596044351213665
금천구,100547986,180,2.0457430613018674,2.697033263410249
노원구,128241927,168,2.6092022601848095,2.5172310458495653
도봉구,106216586,172,2.1610760438769314,2.577165118369793
동대문구,211060360,308,4.294220940296847,4.614923584057537
동작구,167784823,228,3.4137395595771745,3.4162421336529816
마포구,242991433,308,4.943888562974773,4.614923584057537
서대문구,169531489,248,3.449277117235584,3.71591249625412
서초구,230119547,310,4.681997972044701,4.644890620317651
성동구,117207323,220,2.3846928944058288,3.296373988612526
성북구,193723144,304,3.941479023275339,4.554989511537309
송파구,279447848,280,5.68562851215875,4.195385076415943
양천구,156840394,224,3.1910648887323414,3.356308061132754
영등포구,201689897,392,4.103570083665707,5.873539106982319
용산구,140657354,228,2.8618057647279023,3.4162421336529816
은평구,243440396,272,4.9530231362125825,4.075516931375487
종로구,151276603,308,3.077864343544059,4.614923584057537
중구,170217469,312,3.4632340235946217,4.674857656577765
중랑구,205612849,244,4.183386220746963,3.6559784237338926
