동명,설치주소,위  치
신사동,압구정로14길 6(신사동 548-4),코다차야 남동쪽(가게 앞)
신사동,강남대로152길 14(신사동 513-2),FLASH BAR 동쪽(전신주)
신사동,강남대로152길 29(신사동 515-12),인사동촌 남쪽(가게 앞)
신사동,강남대로152길 34(신사동 514-8),고향역(전신주)
논현1동,학동로2길 11 (취영루) 맞은편,영풍빌딩 주차장 옆
논현1동,학동로2길 19,GS25 앞
논현1동,학동로2길 47 맞은편,공사장 담장
논현1동,봉은사로1길 35 맞은편,원할머니보쌈 좌측
논현1동,봉은사로1길 32,김봉남포차 앞(상호변경)
논현1동,봉은사로1길 16 ,노랑통닭 앞
논현1동,봉은사로1길 16 (청평갈비) 앞,주차장 앞
논현1동,학동로2길 47 맞은편,공사장 부근
논현1동,학동로2길 13 (강남설렁탕) 맞은편,자생한방병원주차장 앞
논현2동,논현동 98-6 앞,육일점 앞
논현2동,논현동 97-20 앞,청담소 앞
논현2동,논현동 97-18 앞,자연석 돌구이 앞
논현2동,논현동 97-17 앞,홍대찜닭 앞
논현2동,논현동 98-12 앞,한아름 한정식 앞
논현2동,논현동 98-12 앞,바른스시전문점 앞
논현2동,논현동 105-12 앞,브라보 PBA SQURE 앞
압구정동,압구정로36길 8,라곱창~풀바셋(음식물수거통 옆) 
삼성1동,삼성로100길 24,가게앞 모퉁이
삼성1동,테헤란로81길 46,가게앞 모퉁이
삼성1동,테헤란로83길 12,제일주차장앞 보도상
삼성1동,테헤란로83길 12,제일주차장앞 보도상
삼성1동,삼성로92길 28,도로 모퉁이
삼성1동,삼성로96길 15,오징어세상가게 옆골목도로변
삼성1동,삼성로104길 22,주소지앞 모퉁이 보도상
삼성1동,봉은사로82길 32,주소지 앞 보도상
삼성1동,삼성로104길 17,주소지 앞 보도상
삼성1동,삼성로104길 28,주소지 앞 보도상
대치4동, 테헤란로64길 14 (대치4동 889-56),더 나인 오피스텔 앞 전신주 옆
대치4동, 테헤란로64길 19 (대치4동  890-57),전신주 옆 코너
대치4동, 선릉로86길 34 (대치4동 896-25),896-25 건너편코너
대치4동, 삼성로85길 42 (대치4동 891-27),대우아이빌멤버스1층 선릉미래공인중개사무소 앞
대치4동, 선릉로90길 56 (대치4동 891-24),대우아이빌명문가앞 담장
대치4동, 삼성로85길 33 (대치4동 894)),카페디퍼 포스코점커피숍 앞
대치4동,선릉로90길 56(대치4동 891-24),대우아이빌명문가앞 담장
역삼1동,강남대로468,충림빌딩 뒤
역삼1동,강남대로438,CGV 앞
역삼1동,강남대로422,씨티극장 뒤
역삼1동,테헤란로1길 25,라공방강남2호 본점앞
역삼1동,언주로98길7,역삼동 699-2
역삼1동,언주로98길16,역삼동 700-20
도곡1동,남부순환로361길 7,
