연번,도로명,설치장소,설치 장소 유형,수거 쓰레기 종류,형태
1,자하문로,자하문로1길 12,상가지역,담배꽁초,담배꽁초 수거함
2,자하문로,자하문로1길 50-1,상가지역,담배꽁초,담배꽁초 수거함
3,자하문로,자하문로1길 34,상가지역,담배꽁초,담배꽁초 수거함
4,자하문로,자하문로1길 49-4,상가지역,담배꽁초,담배꽁초 수거함
5,자하문로,자하문로 103-19,상가지역,담배꽁초,담배꽁초 수거함
6,자하문로,자하문로1길 33,상가지역,담배꽁초,담배꽁초 수거함
7,자하문로,자하문로1길 103-4,상가지역,담배꽁초,담배꽁초 수거함
8,자하문로,자하문로1길 49-4,상가지역,담배꽁초,담배꽁초 수거함
9,자하문로,자하문로1길 21,상가지역,담배꽁초,담배꽁초 수거함
10,자하문로,자하문로1길 3-2,상가지역,담배꽁초,담배꽁초 수거함
11,자하문로,자하문로1길 5,상가지역,담배꽁초,담배꽁초 수거함
12,자하문로,자하문로1길 3,상가지역,담배꽁초,담배꽁초 수거함
13,자하문로,자하문로 39,상가지역,담배꽁초,담배꽁초 수거함
14,자하문로,자하문로 2,상가지역,담배꽁초,담배꽁초 수거함
15,자하문로,자하문로1길 32,상가지역,담배꽁초,담배꽁초 수거함
16,필운대로,필운대로 9-2,도로변(횡단보도 포함),담배꽁초,담배꽁초 수거함
17,통일로,통일로16길 3,상가지역,담배꽁초,담배꽁초 수거함
18,종로 ,수송동 80-7 보성사 터,도로변(횡단보도 포함),담배꽁초,담배꽁초 수거함
19,종로,수송동 80-7 보성사 터,도로변(횡단보도 포함),담배꽁초,담배꽁초 수거함
20,종로 ,종로 1 교보생명 앞,도로변(횡단보도 포함),담배꽁초,담배꽁초 수거함
21,종로,종로 1 교보생명 앞,도로변(횡단보도 포함),담배꽁초,담배꽁초 수거함
22,청계천로,청계천로 35,도로변(횡단보도 포함),담배꽁초,담배꽁초 수거함
23,서순라길,서순라길 3,도로변(횡단보도 포함),담배꽁초,담배꽁초 수거함
24,서순라길,서순라길 7,도로변(횡단보도 포함),담배꽁초,담배꽁초 수거함
25,수표로,종로3가 2-1,도로변(횡단보도 포함),담배꽁초,담배꽁초 수거함
26,돈화문로,돈화문로 32-1,도로변(횡단보도 포함),담배꽁초,담배꽁초 수거함
27,돈화문로,돈화문로 35,도로변(횡단보도 포함),담배꽁초,담배꽁초 수거함
28,종로,종로 289,도로변(횡단보도 포함),담배꽁초,담배꽁초 수거함
29,종로,종로 294,도로변(횡단보도 포함),담배꽁초,담배꽁초 수거함
30,종로,종로 307,도로변(횡단보도 포함),담배꽁초,담배꽁초 수거함
31,종로,종로 359,도로변(횡단보도 포함),담배꽁초,담배꽁초 수거함
32,종로,종로 398,도로변(횡단보도 포함),담배꽁초,담배꽁초 수거함
